"state","month_date","median_listing_price","new_listing_count","active_listing_count","pending_listing_count"
"ak",2016 Jul,257823.076923077,1184,3795,555
"al",2016 Jul,163408.656716418,7480,30457,2665
"ar",2016 Jul,123559.613333333,4336,17566,3626
"az",2016 Jul,241208.266666667,12132,30315,8191
"ca",2016 Jul,490372.948275862,46268,83507,38661
"co",2016 Jul,525621.15625,13168,24525,6655
"ct",2016 Jul,327937.5,5520,24229,5197
"dc",2016 Jul,579900,888,1329,514
"de",2016 Jul,268300,1816,7010,1784
"fl",2016 Jul,246558.104477612,41864,136577,57686
"ga",2016 Jul,175082.626582278,18480,61094,17641
"hi",2016 Jul,668062.5,1780,6237,1741
"ia",2016 Jul,134490.565656566,4524,13811,4691
"id",2016 Jul,221223.636363636,4262,11894,751
"il",2016 Jul,130266.673267327,19788,60966,29326
"in",2016 Jul,132650.369565217,10452,27926,7381
"ks",2016 Jul,114929.744897959,4322,10796,2281
"ky",2016 Jul,149701.541666667,5652,17359,7774
"la",2016 Jul,183078.046875,5244,17260,2796
"ma",2016 Jul,610775.571428571,8688,21245,7030
"md",2016 Jul,292673,10100,27232,5874
"me",2016 Jul,217796.875,2984,13927,1189
"mi",2016 Jul,164852.879518072,16392,47776,3192
"mn",2016 Jul,176361.91954023,11756,24679,13696
"mo",2016 Jul,125640.730434783,9832,30184,8958
"ms",2016 Jul,140247,3172,13211,2244
"mt",2016 Jul,231362.32,2000,8301,1938
"nc",2016 Jul,225864.66,17060,61234,16068
"nd",2016 Jul,148104.34,962,3405,1032
"ne",2016 Jul,139804.819277108,2414,5032,4234
"nh",2016 Jul,257755,2644,9630,3217
"nj",2016 Jul,314192.80952381,14516,55374,6833
"nm",2016 Jul,191761.71875,3228,11850,1320
"nv",2016 Jul,242500.9375,5524,12837,8846
"ny",2016 Jul,251419.209677419,19584,74764,15150
"oh",2016 Jul,140253.125,17484,45157,17387
"ok",2016 Jul,135399.973684211,6096,18578,3609
"or",2016 Jul,300724.388888889,8416,17187,1843
"pa",2016 Jul,160774.597014925,17676,61872,20022
"ri",2016 Jul,396310,1552,4435,1098
"sc",2016 Jul,195524.608695652,8776,32962,9690
"sd",2016 Jul,163160.096153846,1158,3884,1135
"tn",2016 Jul,182366.842105263,11464,38279,5227
"tx",2016 Jul,193043.289795918,38858,95599,42898
"ut",2016 Jul,285404.310344828,5652,12640,7916
"va",2016 Jul,245724.1796875,13700,45344,6454
"vt",2016 Jul,243957.142857143,1340,7868,863
"wa",2016 Jul,298356.923076923,13244,20851,2643
"wi",2016 Jul,178960.055555556,8764,37268,4759
"wv",2016 Jul,147716.436363636,1980,9546,1405
"wy",2016 Jul,266984.782608696,1212,4654,774
"ak",2016 Aug,249064.461538462,1072,3743,555
"al",2016 Aug,163122.462686567,6702,29957,2591
"ar",2016 Aug,123342.133333333,4006,17400,3590
"az",2016 Aug,242432.066666667,12200,29374,7806
"ca",2016 Aug,485941.362068966,44812,84425,38241
"co",2016 Aug,350837.984375,12404,24862,6643
"ct",2016 Aug,327129.75,4926,23520,4850
"dc",2016 Aug,554900,714,1203,482
"de",2016 Aug,267691.666666667,1786,6972,1682
"fl",2016 Aug,248446.970149254,41334,134941,55229
"ga",2016 Aug,174299.158227848,17204,57822,15876
"hi",2016 Aug,678348.25,1748,6254,1730
"ia",2016 Aug,134092.696969697,4432,13911,4375
"id",2016 Aug,218948.954545455,4100,12190,776
"il",2016 Aug,126575.178217822,17798,60738,26903
"in",2016 Aug,133217.434782609,9734,28037,6933
"ks",2016 Aug,115095.132653061,3928,10714,2365
"ky",2016 Aug,148677.033333333,5464,17471,7560
"la",2016 Aug,180066.4375,4826,17264,2726
"ma",2016 Aug,634882.142857143,8246,21013,3078
"md",2016 Aug,292248.541666667,9174,26799,5551
"me",2016 Aug,219259.0625,2660,13713,1241
"mi",2016 Aug,164135.891566265,14724,48599,3095
"mn",2016 Aug,176208.310344828,10054,25031,13132
"mo",2016 Aug,127123.762168294,9290,30038,8647
"ms",2016 Aug,141486.524390244,3126,13087,1942
"mt",2016 Aug,230068.980769231,1704,8304,1992
"nc",2016 Aug,225210.56,16104,60627,15513
"nd",2016 Aug,149068.128888889,988.444444444444,3543.11111111111,977
"ne",2016 Aug,140542.048192771,2318,5144,4152
"nh",2016 Aug,255107.5,2490,9479,3006
"nj",2016 Aug,309033.095238095,13048,54138,6572
"nm",2016 Aug,193487.125,3046,12038,1391
"nv",2016 Aug,242146.125,5498,12957,8577
"ny",2016 Aug,249377.016129032,16466,73799,15093
"oh",2016 Aug,141091.829545455,15624,45512,16437
"ok",2016 Aug,130141.539473684,5734,18724,3477
"or",2016 Aug,303500.583333333,8166,17750,1884
"pa",2016 Aug,159757.970149254,16558,61343,18772
"ri",2016 Aug,393220,1572,4458,1064
"sc",2016 Aug,195195.565217391,8432,33027,8429
"sd",2016 Aug,183148.58490566,1068,3895,1200
"tn",2016 Aug,183248.2,11196,37994,5211
"tx",2016 Aug,187270.510727191,34592.2222222222,96647,41819.125
"ut",2016 Aug,288521.551724138,5826,12825,7869
"va",2016 Aug,245372.484375,12704,44582,5975
"vt",2016 Aug,243150,1366,7847,861
"wa",2016 Aug,296115.820512821,12728,21755,2627
"wi",2016 Aug,179378.194444444,8108,37017,4642
"wv",2016 Aug,147312,2026,9613,1407
"wy",2016 Aug,265570.652173913,1110,4726,788
"ak",2016 Sep,244751,902,3639,557
"al",2016 Sep,162346.492537313,6614,29547,2442
"ar",2016 Sep,122412.306666667,3698,16962,3470
"az",2016 Sep,243530,12908,29315,7714
"ca",2016 Sep,485721.293103448,41506,83101,37166
"co",2016 Sep,350067.953125,10796.0363636364,24456.1909090909,6289
"ct",2016 Sep,329196.875,5384,22877,4455
"dc",2016 Sep,549950,1134,1340,410
"de",2016 Sep,268191.666666667,2160,6943,1165
"fl",2016 Sep,249588.179104478,40332,133971,53205
